,Virus
8120,SARS_COV_2 
4959,SARS_COV_2 
2623,SARS_COV_2 
5589,SARS_COV_2 
10153,SARS_COV_2 
5298,SARS_COV_2 
528,SARS_COV_2 
3314,SARS_COV_2 
11069,SARS_COV_2 
4948,SARS_COV_2 
5949,SARS_COV_2 
4700,SARS_COV_2 
11666,MERS       
4132,SARS_COV_2 
590,SARS_COV_2 
835,SARS_COV_2 
992,SARS_COV_2 
9505,SARS_COV_2 
272,SARS_COV_2 
11791,MERS       
9202,SARS_COV_2 
10735,SARS_COV_2 
8719,SARS_COV_2 
3152,SARS_COV_2 
11280,SARS_COV_2 
3419,SARS_COV_2 
10914,SARS_COV_2 
2802,SARS_COV_2 
6056,SARS_COV_2 
10024,SARS_COV_2 
7741,SARS_COV_2 
10194,SARS_COV_2 
9121,SARS_COV_2 
10608,SARS_COV_2 
926,SARS_COV_2 
9975,SARS_COV_2 
10197,SARS_COV_2 
2302,SARS_COV_2 
623,SARS_COV_2 
6865,SARS_COV_2 
567,SARS_COV_2 
5322,SARS_COV_2 
1162,SARS_COV_2 
1181,SARS_COV_2 
9111,SARS_COV_2 
767,SARS_COV_2 
6213,SARS_COV_2 
5466,SARS_COV_2 
11227,SARS_COV_2 
7715,SARS_COV_2 
10367,SARS_COV_2 
9754,SARS_COV_2 
8152,SARS_COV_2 
5719,SARS_COV_2 
5948,SARS_COV_2 
10845,SARS_COV_2 
2890,SARS_COV_2 
3238,SARS_COV_2 
12176,MERS       
7046,SARS_COV_2 
12912,MERS       
4765,SARS_COV_2 
11352,MERS       
3016,SARS_COV_2 
8705,SARS_COV_2 
3629,SARS_COV_2 
5781,SARS_COV_2 
922,SARS_COV_2 
3262,SARS_COV_2 
636,SARS_COV_2 
10464,SARS_COV_2 
7963,SARS_COV_2 
8383,SARS_COV_2 
10487,SARS_COV_2 
535,SARS_COV_2 
7869,SARS_COV_2 
7582,SARS_COV_2 
2721,SARS_COV_2 
6071,SARS_COV_2 
8050,SARS_COV_2 
8156,SARS_COV_2 
3656,SARS_COV_2 
10892,SARS_COV_2 
747,SARS_COV_2 
7900,SARS_COV_2 
3574,SARS_COV_2 
3540,SARS_COV_2 
8099,SARS_COV_2 
7696,SARS_COV_2 
7584,SARS_COV_2 
10412,SARS_COV_2 
7035,SARS_COV_2 
3431,SARS_COV_2 
4354,SARS_COV_2 
1268,SARS_COV_2 
2410,SARS_COV_2 
1845,SARS_COV_2 
10091,SARS_COV_2 
13056,MERS       
5720,SARS_COV_2 
2079,SARS_COV_2 
3290,SARS_COV_2 
2094,SARS_COV_2 
2130,SARS_COV_2 
5228,SARS_COV_2 
7783,SARS_COV_2 
5550,SARS_COV_2 
63,SARS_COV_2 
3512,SARS_COV_2 
4154,SARS_COV_2 
1123,SARS_COV_2 
5139,SARS_COV_2 
7136,SARS_COV_2 
3868,SARS_COV_2 
485,SARS_COV_2 
11575,MERS       
10386,SARS_COV_2 
10062,SARS_COV_2 
4602,SARS_COV_2 
4263,SARS_COV_2 
1445,SARS_COV_2 
10579,SARS_COV_2 
5420,SARS_COV_2 
2430,SARS_COV_2 
4193,SARS_COV_2 
6730,SARS_COV_2 
10478,SARS_COV_2 
8244,SARS_COV_2 
2949,SARS_COV_2 
12205,MERS       
3760,SARS_COV_2 
8334,SARS_COV_2 
4902,SARS_COV_2 
3113,SARS_COV_2 
319,SARS_COV_2 
159,SARS_COV_2 
12087,MERS       
8127,SARS_COV_2 
9719,SARS_COV_2 
4752,SARS_COV_2 
556,SARS_COV_2 
3892,SARS_COV_2 
9590,SARS_COV_2 
11969,MERS       
2131,SARS_COV_2 
1176,SARS_COV_2 
6421,SARS_COV_2 
10327,SARS_COV_2 
11794,MERS       
12807,MERS       
3204,SARS_COV_2 
3319,SARS_COV_2 
10724,SARS_COV_2 
1790,SARS_COV_2 
10848,SARS_COV_2 
2580,SARS_COV_2 
2712,SARS_COV_2 
13045,MERS       
6364,SARS_COV_2 
4419,SARS_COV_2 
8875,SARS_COV_2 
9961,SARS_COV_2 
10173,SARS_COV_2 
6552,SARS_COV_2 
8268,SARS_COV_2 
2326,SARS_COV_2 
624,SARS_COV_2 
8167,SARS_COV_2 
7891,SARS_COV_2 
3489,SARS_COV_2 
10430,SARS_COV_2 
6710,SARS_COV_2 
12813,MERS       
8809,SARS_COV_2 
9750,SARS_COV_2 
9521,SARS_COV_2 
6472,SARS_COV_2 
5586,SARS_COV_2 
3307,SARS_COV_2 
10788,SARS_COV_2 
13042,MERS       
4526,SARS_COV_2 
4252,SARS_COV_2 
3496,SARS_COV_2 
1567,SARS_COV_2 
7630,SARS_COV_2 
11533,MERS       
4673,SARS_COV_2 
1965,SARS_COV_2 
11312,SARS_COV_2 
11916,MERS       
7555,SARS_COV_2 
9048,SARS_COV_2 
5100,SARS_COV_2 
7206,SARS_COV_2 
11879,MERS       
4360,SARS_COV_2 
3980,SARS_COV_2 
12994,MERS       
8467,SARS_COV_2 
746,SARS_COV_2 
7660,SARS_COV_2 
5610,SARS_COV_2 
9233,SARS_COV_2 
6875,SARS_COV_2 
4532,SARS_COV_2 
3012,SARS_COV_2 
7985,SARS_COV_2 
10287,SARS_COV_2 
578,SARS_COV_2 
9170,SARS_COV_2 
9211,SARS_COV_2 
12489,MERS       
201,SARS_COV_2 
12102,MERS       
6273,SARS_COV_2 
4040,SARS_COV_2 
5742,SARS_COV_2 
11979,MERS       
4038,SARS_COV_2 
2670,SARS_COV_2 
166,SARS_COV_2 
3818,SARS_COV_2 
9886,SARS_COV_2 
2624,SARS_COV_2 
6084,SARS_COV_2 
3131,SARS_COV_2 
380,SARS_COV_2 
1769,SARS_COV_2 
10467,SARS_COV_2 
1239,SARS_COV_2 
3347,SARS_COV_2 
5504,SARS_COV_2 
11177,SARS_COV_2 
173,SARS_COV_2 
7291,SARS_COV_2 
5973,SARS_COV_2 
8077,SARS_COV_2 
12800,MERS       
7500,SARS_COV_2 
11267,SARS_COV_2 
2133,SARS_COV_2 
4579,SARS_COV_2 
9993,SARS_COV_2 
9639,SARS_COV_2 
12254,MERS       
4549,SARS_COV_2 
9809,SARS_COV_2 
7160,SARS_COV_2 
8777,SARS_COV_2 
11995,MERS       
12653,MERS       
8894,SARS_COV_2 
4219,SARS_COV_2 
12202,MERS       
6869,SARS_COV_2 
9307,SARS_COV_2 
5239,SARS_COV_2 
11135,SARS_COV_2 
7497,SARS_COV_2 
3430,SARS_COV_2 
12584,MERS       
8774,SARS_COV_2 
7632,SARS_COV_2 
11554,MERS       
9722,SARS_COV_2 
1365,SARS_COV_2 
7999,SARS_COV_2 
7713,SARS_COV_2 
4331,SARS_COV_2 
7077,SARS_COV_2 
1240,SARS_COV_2 
8164,SARS_COV_2 
11903,MERS       
5367,SARS_COV_2 
10276,SARS_COV_2 
149,SARS_COV_2 
1889,SARS_COV_2 
4359,SARS_COV_2 
1395,SARS_COV_2 
506,SARS_COV_2 
12074,MERS       
12944,MERS       
8723,SARS_COV_2 
7237,SARS_COV_2 
8711,SARS_COV_2 
12366,MERS       
2991,SARS_COV_2 
10708,SARS_COV_2 
2072,SARS_COV_2 
12945,MERS       
12354,MERS       
8336,SARS_COV_2 
3590,SARS_COV_2 
4169,SARS_COV_2 
11278,SARS_COV_2 
2397,SARS_COV_2 
4127,SARS_COV_2 
9082,SARS_COV_2 
2391,SARS_COV_2 
12021,MERS       
5104,SARS_COV_2 
10480,SARS_COV_2 
8641,SARS_COV_2 
6924,SARS_COV_2 
7594,SARS_COV_2 
3231,SARS_COV_2 
1214,SARS_COV_2 
7111,SARS_COV_2 
3613,SARS_COV_2 
5615,SARS_COV_2 
7327,SARS_COV_2 
11315,SARS_COV_2 
3822,SARS_COV_2 
11921,MERS       
1821,SARS_COV_2 
4632,SARS_COV_2 
12124,MERS       
8898,SARS_COV_2 
7711,SARS_COV_2 
2058,SARS_COV_2 
11782,MERS       
10886,SARS_COV_2 
6613,SARS_COV_2 
9203,SARS_COV_2 
8072,SARS_COV_2 
2157,SARS_COV_2 
1927,SARS_COV_2 
5358,SARS_COV_2 
8282,SARS_COV_2 
5644,SARS_COV_2 
80,SARS_COV_2 
10590,SARS_COV_2 
11394,MERS       
8617,SARS_COV_2 
7404,SARS_COV_2 
858,SARS_COV_2 
5718,SARS_COV_2 
9811,SARS_COV_2 
6066,SARS_COV_2 
6244,SARS_COV_2 
7550,SARS_COV_2 
8751,SARS_COV_2 
4634,SARS_COV_2 
4658,SARS_COV_2 
4732,SARS_COV_2 
4777,SARS_COV_2 
10997,SARS_COV_2 
2367,SARS_COV_2 
11274,SARS_COV_2 
2610,SARS_COV_2 
11672,MERS       
3263,SARS_COV_2 
5460,SARS_COV_2 
9497,SARS_COV_2 
3807,SARS_COV_2 
5247,SARS_COV_2 
4904,SARS_COV_2 
114,SARS_COV_2 
11385,MERS       
2429,SARS_COV_2 
12862,MERS       
11027,SARS_COV_2 
4950,SARS_COV_2 
1732,SARS_COV_2 
12256,MERS       
6666,SARS_COV_2 
6490,SARS_COV_2 
12882,MERS       
7728,SARS_COV_2 
2089,SARS_COV_2 
12513,MERS       
7867,SARS_COV_2 
664,SARS_COV_2 
4031,SARS_COV_2 
5143,SARS_COV_2 
10728,SARS_COV_2 
698,SARS_COV_2 
3498,SARS_COV_2 
6206,SARS_COV_2 
1459,SARS_COV_2 
7507,SARS_COV_2 
8995,SARS_COV_2 
3418,SARS_COV_2 
4661,SARS_COV_2 
2087,SARS_COV_2 
4441,SARS_COV_2 
12735,MERS       
612,SARS_COV_2 
5736,SARS_COV_2 
8386,SARS_COV_2 
12390,MERS       
446,SARS_COV_2 
10195,SARS_COV_2 
2182,SARS_COV_2 
12982,MERS       
12791,MERS       
7020,SARS_COV_2 
11339,MERS       
9912,SARS_COV_2 
10661,SARS_COV_2 
9967,SARS_COV_2 
7517,SARS_COV_2 
12309,MERS       
10523,SARS_COV_2 
9165,SARS_COV_2 
9037,SARS_COV_2 
5911,SARS_COV_2 
6129,SARS_COV_2 
10800,SARS_COV_2 
13117,MERS       
7521,SARS_COV_2 
10981,SARS_COV_2 
8736,SARS_COV_2 
3232,SARS_COV_2 
12798,MERS       
9073,SARS_COV_2 
5079,SARS_COV_2 
7665,SARS_COV_2 
10131,SARS_COV_2 
9755,SARS_COV_2 
863,SARS_COV_2 
3387,SARS_COV_2 
2617,SARS_COV_2 
7664,SARS_COV_2 
3322,SARS_COV_2 
9427,SARS_COV_2 
3377,SARS_COV_2 
1341,SARS_COV_2 
6314,SARS_COV_2 
6073,SARS_COV_2 
9357,SARS_COV_2 
7149,SARS_COV_2 
11291,SARS_COV_2 
12671,MERS       
1278,SARS_COV_2 
11543,MERS       
10388,SARS_COV_2 
5711,SARS_COV_2 
9470,SARS_COV_2 
12372,MERS       
1087,SARS_COV_2 
4153,SARS_COV_2 
3163,SARS_COV_2 
12522,MERS       
11114,SARS_COV_2 
4388,SARS_COV_2 
8647,SARS_COV_2 
1286,SARS_COV_2 
7663,SARS_COV_2 
10086,SARS_COV_2 
10110,SARS_COV_2 
7193,SARS_COV_2 
7260,SARS_COV_2 
7354,SARS_COV_2 
2696,SARS_COV_2 
7376,SARS_COV_2 
13167,SARS_COV_1 
8631,SARS_COV_2 
6665,SARS_COV_2 
1481,SARS_COV_2 
1803,SARS_COV_2 
12467,MERS       
10995,SARS_COV_2 
12257,MERS       
1323,SARS_COV_2 
1184,SARS_COV_2 
11197,SARS_COV_2 
4803,SARS_COV_2 
7793,SARS_COV_2 
11059,SARS_COV_2 
6419,SARS_COV_2 
7121,SARS_COV_2 
8370,SARS_COV_2 
6486,SARS_COV_2 
3235,SARS_COV_2 
11486,MERS       
4864,SARS_COV_2 
7690,SARS_COV_2 
3799,SARS_COV_2 
12770,MERS       
12869,MERS       
11586,MERS       
1890,SARS_COV_2 
563,SARS_COV_2 
5095,SARS_COV_2 
10909,SARS_COV_2 
4690,SARS_COV_2 
2002,SARS_COV_2 
8818,SARS_COV_2 
4456,SARS_COV_2 
10315,SARS_COV_2 
7362,SARS_COV_2 
1591,SARS_COV_2 
3133,SARS_COV_2 
232,SARS_COV_2 
7071,SARS_COV_2 
10636,SARS_COV_2 
3752,SARS_COV_2 
8802,SARS_COV_2 
8639,SARS_COV_2 
8750,SARS_COV_2 
7274,SARS_COV_2 
9602,SARS_COV_2 
2195,SARS_COV_2 
9752,SARS_COV_2 
6729,SARS_COV_2 
9343,SARS_COV_2 
11132,SARS_COV_2 
7233,SARS_COV_2 
4142,SARS_COV_2 
8177,SARS_COV_2 
4044,SARS_COV_2 
1099,SARS_COV_2 
5231,SARS_COV_2 
2262,SARS_COV_2 
9125,SARS_COV_2 
6322,SARS_COV_2 
13084,MERS       
12057,MERS       
3271,SARS_COV_2 
11343,MERS       
10219,SARS_COV_2 
10989,SARS_COV_2 
7448,SARS_COV_2 
7800,SARS_COV_2 
156,SARS_COV_2 
10767,SARS_COV_2 
7568,SARS_COV_2 
10752,SARS_COV_2 
3102,SARS_COV_2 
3950,SARS_COV_2 
9501,SARS_COV_2 
10779,SARS_COV_2 
4110,SARS_COV_2 
11468,MERS       
12716,MERS       
8345,SARS_COV_2 
7914,SARS_COV_2 
7705,SARS_COV_2 
12736,MERS       
6176,SARS_COV_2 
233,SARS_COV_2 
10495,SARS_COV_2 
7777,SARS_COV_2 
8845,SARS_COV_2 
6848,SARS_COV_2 
10790,SARS_COV_2 
2554,SARS_COV_2 
3094,SARS_COV_2 
9245,SARS_COV_2 
11574,MERS       
12014,MERS       
5349,SARS_COV_2 
7956,SARS_COV_2 
4307,SARS_COV_2 
6309,SARS_COV_2 
7875,SARS_COV_2 
12913,MERS       
4966,SARS_COV_2 
11366,MERS       
1916,SARS_COV_2 
7796,SARS_COV_2 
959,SARS_COV_2 
12642,MERS       
5436,SARS_COV_2 
7557,SARS_COV_2 
12641,MERS       
12136,MERS       
8756,SARS_COV_2 
10555,SARS_COV_2 
7924,SARS_COV_2 
868,SARS_COV_2 
7895,SARS_COV_2 
2790,SARS_COV_2 
8444,SARS_COV_2 
552,SARS_COV_2 
4420,SARS_COV_2 
6198,SARS_COV_2 
9687,SARS_COV_2 
3023,SARS_COV_2 
5845,SARS_COV_2 
3867,SARS_COV_2 
3894,SARS_COV_2 
7564,SARS_COV_2 
6708,SARS_COV_2 
5012,SARS_COV_2 
4521,SARS_COV_2 
4768,SARS_COV_2 
11000,SARS_COV_2 
7942,SARS_COV_2 
9989,SARS_COV_2 
6799,SARS_COV_2 
6182,SARS_COV_2 
9861,SARS_COV_2 
3520,SARS_COV_2 
9725,SARS_COV_2 
11188,SARS_COV_2 
6815,SARS_COV_2 
4119,SARS_COV_2 
7359,SARS_COV_2 
12053,MERS       
4676,SARS_COV_2 
135,SARS_COV_2 
5412,SARS_COV_2 
1597,SARS_COV_2 
10812,SARS_COV_2 
8119,SARS_COV_2 
3628,SARS_COV_2 
2000,SARS_COV_2 
12145,MERS       
10481,SARS_COV_2 
10541,SARS_COV_2 
12097,MERS       
6230,SARS_COV_2 
11638,MERS       
8929,SARS_COV_2 
10258,SARS_COV_2 
12325,MERS       
10248,SARS_COV_2 
11302,SARS_COV_2 
9452,SARS_COV_2 
12792,MERS       
2407,SARS_COV_2 
1493,SARS_COV_2 
2440,SARS_COV_2 
10260,SARS_COV_2 
8468,SARS_COV_2 
4619,SARS_COV_2 
9666,SARS_COV_2 
5378,SARS_COV_2 
3173,SARS_COV_2 
7505,SARS_COV_2 
2946,SARS_COV_2 
5995,SARS_COV_2 
12316,MERS       
12310,MERS       
4482,SARS_COV_2 
132,SARS_COV_2 
4258,SARS_COV_2 
5695,SARS_COV_2 
11309,SARS_COV_2 
12917,MERS       
9705,SARS_COV_2 
12058,MERS       
1997,SARS_COV_2 
1422,SARS_COV_2 
12778,MERS       
10828,SARS_COV_2 
12025,MERS       
5627,SARS_COV_2 
961,SARS_COV_2 
8113,SARS_COV_2 
8380,SARS_COV_2 
2154,SARS_COV_2 
5986,SARS_COV_2 
250,SARS_COV_2 
1795,SARS_COV_2 
11258,SARS_COV_2 
8817,SARS_COV_2 
9629,SARS_COV_2 
5967,SARS_COV_2 
1625,SARS_COV_2 
3206,SARS_COV_2 
5144,SARS_COV_2 
344,SARS_COV_2 
9678,SARS_COV_2 
5068,SARS_COV_2 
8857,SARS_COV_2 
1959,SARS_COV_2 
8765,SARS_COV_2 
2770,SARS_COV_2 
8189,SARS_COV_2 
4994,SARS_COV_2 
1161,SARS_COV_2 
10651,SARS_COV_2 
11372,MERS       
4641,SARS_COV_2 
6281,SARS_COV_2 
8761,SARS_COV_2 
10075,SARS_COV_2 
4406,SARS_COV_2 
1621,SARS_COV_2 
5609,SARS_COV_2 
9244,SARS_COV_2 
7533,SARS_COV_2 
4741,SARS_COV_2 
1510,SARS_COV_2 
4539,SARS_COV_2 
5521,SARS_COV_2 
1491,SARS_COV_2 
9753,SARS_COV_2 
6834,SARS_COV_2 
1464,SARS_COV_2 
11703,MERS       
6909,SARS_COV_2 
4636,SARS_COV_2 
5624,SARS_COV_2 
12618,MERS       
11031,SARS_COV_2 
6229,SARS_COV_2 
5994,SARS_COV_2 
11544,MERS       
163,SARS_COV_2 
860,SARS_COV_2 
11129,SARS_COV_2 
10334,SARS_COV_2 
807,SARS_COV_2 
12335,MERS       
7640,SARS_COV_2 
96,SARS_COV_2 
6887,SARS_COV_2 
4468,SARS_COV_2 
7537,SARS_COV_2 
5099,SARS_COV_2 
6430,SARS_COV_2 
8433,SARS_COV_2 
11389,MERS       
8378,SARS_COV_2 
10423,SARS_COV_2 
9390,SARS_COV_2 
12290,MERS       
6975,SARS_COV_2 
7997,SARS_COV_2 
12067,MERS       
5363,SARS_COV_2 
5253,SARS_COV_2 
13072,MERS       
4500,SARS_COV_2 
10251,SARS_COV_2 
3358,SARS_COV_2 
1995,SARS_COV_2 
9858,SARS_COV_2 
10656,SARS_COV_2 
3280,SARS_COV_2 
3761,SARS_COV_2 
2500,SARS_COV_2 
1030,SARS_COV_2 
10723,SARS_COV_2 
4310,SARS_COV_2 
7911,SARS_COV_2 
5598,SARS_COV_2 
11392,MERS       
10300,SARS_COV_2 
1664,SARS_COV_2 
12533,MERS       
2514,SARS_COV_2 
9261,SARS_COV_2 
12536,MERS       
10390,SARS_COV_2 
6112,SARS_COV_2 
4528,SARS_COV_2 
5850,SARS_COV_2 
8055,SARS_COV_2 
2102,SARS_COV_2 
5317,SARS_COV_2 
8963,SARS_COV_2 
9898,SARS_COV_2 
215,SARS_COV_2 
2085,SARS_COV_2 
11409,MERS       
7286,SARS_COV_2 
11500,MERS       
9219,SARS_COV_2 
24,SARS_COV_2 
12604,MERS       
7251,SARS_COV_2 
4350,SARS_COV_2 
4986,SARS_COV_2 
9129,SARS_COV_2 
6126,SARS_COV_2 
3869,SARS_COV_2 
5858,SARS_COV_2 
6088,SARS_COV_2 
9925,SARS_COV_2 
5403,SARS_COV_2 
745,SARS_COV_2 
5123,SARS_COV_2 
12975,MERS       
547,SARS_COV_2 
9207,SARS_COV_2 
1006,SARS_COV_2 
3588,SARS_COV_2 
2147,SARS_COV_2 
10802,SARS_COV_2 
8344,SARS_COV_2 
3302,SARS_COV_2 
1497,SARS_COV_2 
260,SARS_COV_2 
1332,SARS_COV_2 
8632,SARS_COV_2 
10189,SARS_COV_2 
2424,SARS_COV_2 
583,SARS_COV_2 
5083,SARS_COV_2 
2068,SARS_COV_2 
1992,SARS_COV_2 
4146,SARS_COV_2 
7515,SARS_COV_2 
9301,SARS_COV_2 
8062,SARS_COV_2 
12411,MERS       
817,SARS_COV_2 
10740,SARS_COV_2 
4748,SARS_COV_2 
5879,SARS_COV_2 
358,SARS_COV_2 
1572,SARS_COV_2 
4029,SARS_COV_2 
7123,SARS_COV_2 
11609,MERS       
8911,SARS_COV_2 
2983,SARS_COV_2 
8640,SARS_COV_2 
285,SARS_COV_2 
9888,SARS_COV_2 
6776,SARS_COV_2 
1794,SARS_COV_2 
10165,SARS_COV_2 
6061,SARS_COV_2 
940,SARS_COV_2 
7371,SARS_COV_2 
10815,SARS_COV_2 
7127,SARS_COV_2 
10224,SARS_COV_2 
2151,SARS_COV_2 
6226,SARS_COV_2 
6408,SARS_COV_2 
4928,SARS_COV_2 
4756,SARS_COV_2 
10684,SARS_COV_2 
9566,SARS_COV_2 
9088,SARS_COV_2 
2978,SARS_COV_2 
1499,SARS_COV_2 
1009,SARS_COV_2 
9723,SARS_COV_2 
11377,MERS       
2450,SARS_COV_2 
4028,SARS_COV_2 
5727,SARS_COV_2 
10832,SARS_COV_2 
7388,SARS_COV_2 
13083,MERS       
2778,SARS_COV_2 
7998,SARS_COV_2 
10309,SARS_COV_2 
8909,SARS_COV_2 
5294,SARS_COV_2 
1989,SARS_COV_2 
9742,SARS_COV_2 
8464,SARS_COV_2 
11597,MERS       
12565,MERS       
10798,SARS_COV_2 
7269,SARS_COV_2 
13196,SARS_COV_1 
9377,SARS_COV_2 
5036,SARS_COV_2 
12249,MERS       
1902,SARS_COV_2 
5032,SARS_COV_2 
2923,SARS_COV_2 
7187,SARS_COV_2 
11269,SARS_COV_2 
7964,SARS_COV_2 
12793,MERS       
1699,SARS_COV_2 
7681,SARS_COV_2 
5757,SARS_COV_2 
853,SARS_COV_2 
2838,SARS_COV_2 
11446,MERS       
823,SARS_COV_2 
4703,SARS_COV_2 
366,SARS_COV_2 
4186,SARS_COV_2 
11128,SARS_COV_2 
7918,SARS_COV_2 
1922,SARS_COV_2 
1885,SARS_COV_2 
5168,SARS_COV_2 
10955,SARS_COV_2 
12381,MERS       
12360,MERS       
813,SARS_COV_2 
13127,MERS       
9407,SARS_COV_2 
11866,MERS       
10084,SARS_COV_2 
1109,SARS_COV_2 
12605,MERS       
1361,SARS_COV_2 
4034,SARS_COV_2 
2559,SARS_COV_2 
13052,MERS       
9450,SARS_COV_2 
12559,MERS       
6220,SARS_COV_2 
13049,MERS       
4576,SARS_COV_2 
11572,MERS       
10473,SARS_COV_2 
1878,SARS_COV_2 
9420,SARS_COV_2 
10881,SARS_COV_2 
11773,MERS       
8708,SARS_COV_2 
9469,SARS_COV_2 
3179,SARS_COV_2 
10949,SARS_COV_2 
6864,SARS_COV_2 
724,SARS_COV_2 
9853,SARS_COV_2 
5583,SARS_COV_2 
4866,SARS_COV_2 
2352,SARS_COV_2 
3891,SARS_COV_2 
3089,SARS_COV_2 
11865,MERS       
12179,MERS       
880,SARS_COV_2 
12395,MERS       
13028,MERS       
5875,SARS_COV_2 
5194,SARS_COV_2 
10377,SARS_COV_2 
3341,SARS_COV_2 
65,SARS_COV_2 
12242,MERS       
735,SARS_COV_2 
8541,SARS_COV_2 
2884,SARS_COV_2 
72,SARS_COV_2 
6774,SARS_COV_2 
5098,SARS_COV_2 
9740,SARS_COV_2 
10568,SARS_COV_2 
3631,SARS_COV_2 
9721,SARS_COV_2 
7275,SARS_COV_2 
11483,MERS       
1074,SARS_COV_2 
7789,SARS_COV_2 
8678,SARS_COV_2 
2682,SARS_COV_2 
8780,SARS_COV_2 
2016,SARS_COV_2 
312,SARS_COV_2 
3823,SARS_COV_2 
3725,SARS_COV_2 
6167,SARS_COV_2 
10685,SARS_COV_2 
342,SARS_COV_2 
4670,SARS_COV_2 
4562,SARS_COV_2 
9806,SARS_COV_2 
10885,SARS_COV_2 
6947,SARS_COV_2 
3098,SARS_COV_2 
11052,SARS_COV_2 
7484,SARS_COV_2 
4133,SARS_COV_2 
13192,SARS_COV_1 
2091,SARS_COV_2 
3860,SARS_COV_2 
3558,SARS_COV_2 
8805,SARS_COV_2 
8727,SARS_COV_2 
8735,SARS_COV_2 
10533,SARS_COV_2 
9547,SARS_COV_2 
10729,SARS_COV_2 
7523,SARS_COV_2 
12918,MERS       
4047,SARS_COV_2 
1835,SARS_COV_2 
5713,SARS_COV_2 
2956,SARS_COV_2 
10726,SARS_COV_2 
1348,SARS_COV_2 
11823,MERS       
4301,SARS_COV_2 
842,SARS_COV_2 
1303,SARS_COV_2 
3126,SARS_COV_2 
11491,MERS       
5631,SARS_COV_2 
4022,SARS_COV_2 
10799,SARS_COV_2 
1638,SARS_COV_2 
5717,SARS_COV_2 
9115,SARS_COV_2 
1219,SARS_COV_2 
10136,SARS_COV_2 
1147,SARS_COV_2 
10737,SARS_COV_2 
4025,SARS_COV_2 
8584,SARS_COV_2 
6475,SARS_COV_2 
9223,SARS_COV_2 
7623,SARS_COV_2 
8796,SARS_COV_2 
4213,SARS_COV_2 
3555,SARS_COV_2 
4037,SARS_COV_2 
179,SARS_COV_2 
979,SARS_COV_2 
12790,MERS       
10743,SARS_COV_2 
12292,MERS       
9365,SARS_COV_2 
20,SARS_COV_2 
8178,SARS_COV_2 
7361,SARS_COV_2 
3865,SARS_COV_2 
3688,SARS_COV_2 
8263,SARS_COV_2 
7021,SARS_COV_2 
5483,SARS_COV_2 
6638,SARS_COV_2 
11546,MERS       
5747,SARS_COV_2 
13069,MERS       
3197,SARS_COV_2 
62,SARS_COV_2 
3252,SARS_COV_2 
3397,SARS_COV_2 
2143,SARS_COV_2 
6610,SARS_COV_2 
7519,SARS_COV_2 
1673,SARS_COV_2 
5321,SARS_COV_2 
8906,SARS_COV_2 
5353,SARS_COV_2 
1375,SARS_COV_2 
2296,SARS_COV_2 
204,SARS_COV_2 
5371,SARS_COV_2 
2844,SARS_COV_2 
5969,SARS_COV_2 
11713,MERS       
9869,SARS_COV_2 
4341,SARS_COV_2 
