,PROTEIN
271,ORF1ab polyprotein
5992,ORF1a polyprotein
1274,ORF1ab polyprotein
1200,ORF1ab polyprotein
12636,ORF1a polyprotein
10518,ORF1ab polyprotein
8169,ORF1a polyprotein
5757,ORF1a polyprotein
6681,surface glycoprotein
1638,ORF1a polyprotein
7461,ORF1ab polyprotein
8838,ORF1a polyprotein
9212,ORF1a polyprotein
7881,ORF1ab polyprotein
11715,ORF1a polyprotein
9174,surface glycoprotein
9654,ORF1a polyprotein
10973,ORF1a polyprotein
8646,ORF1a polyprotein
12107,ORF4b protein
5879,ORF1ab polyprotein
216,surface glycoprotein
1610,surface glycoprotein
9479,ORF1a polyprotein
11993,surface glycoprotein
11823,ORF1ab polyprotein
2550,ORF1ab polyprotein
5862,ORF1ab polyprotein
10582,ORF1ab polyprotein
3108,ORF1a polyprotein
6997,ORF1a polyprotein
8524,ORF1a polyprotein
6713,ORF1ab polyprotein
2381,surface glycoprotein
2377,ORF1ab polyprotein
4215,surface glycoprotein
9706,ORF1a polyprotein
10295,ORF1ab polyprotein
2975,ORF1ab polyprotein
4076,ORF1ab polyprotein
2151,ORF1a polyprotein
6230,ORF1a polyprotein
3300,ORF3a protein
633,nucleocapsid phosphoprotein
4058,surface glycoprotein
928,ORF7a protein
12185,ORF1a polyprotein
10657,ORF1ab polyprotein
4185,ORF1ab polyprotein
6410,surface glycoprotein
6137,ORF1a polyprotein
3102,ORF1a polyprotein
5122,ORF1a polyprotein
6495,ORF1a polyprotein
9581,ORF1a polyprotein
3497,ORF1ab polyprotein
12182,ORF1a polyprotein
12900,ORF1ab polyprotein
3371,ORF1ab polyprotein
3149,ORF1a polyprotein
8449,ORF1ab polyprotein
4868,ORF1ab polyprotein
9601,ORF1ab polyprotein
8485,ORF1ab polyprotein
3891,ORF1a polyprotein
8100,ORF1ab polyprotein
8837,surface glycoprotein
6301,ORF1ab polyprotein
4470,ORF1ab polyprotein
8617,ORF1a polyprotein
9882,ORF1a polyprotein
806,ORF1a polyprotein
10150,ORF1ab polyprotein
6620,ORF1ab polyprotein
2460,ORF1a polyprotein
10191,ORF1a polyprotein
9431,ORF1ab polyprotein
3741,ORF1a polyprotein
1119,ORF1a polyprotein
4583,ORF1a polyprotein
1142,ORF1a polyprotein
4375,ORF1a polyprotein
11288,ORF1ab polyprotein
3362,surface glycoprotein
4479,ORF1a polyprotein
6502,ORF1ab polyprotein
601,ORF1a polyprotein
7075,ORF1ab polyprotein
12326,ORF1ab polyprotein
12400,surface glycoprotein
9650,ORF1a polyprotein
6988,ORF1ab polyprotein
3077,ORF1ab polyprotein
505,ORF1ab polyprotein
1813,ORF1ab polyprotein
10897,ORF1ab polyprotein
9972,ORF1a polyprotein
7846,ORF1ab polyprotein
11994,ORF1ab polyprotein
9412,ORF1ab polyprotein
12494,ORF1ab polyprotein
3399,ORF1ab polyprotein
6852,ORF1ab polyprotein
12070,envelope protein
9761,ORF1ab polyprotein
11473,nucleocapsid phosphoprotein
6758,ORF1a polyprotein
2887,surface glycoprotein
3118,ORF1a polyprotein
4139,membrane glycoprotein
9532,ORF1ab polyprotein
12150,ORF4b protein
1923,ORF1ab polyprotein
9975,ORF1ab polyprotein
3002,ORF1ab polyprotein
10621,ORF1a polyprotein
7570,ORF1a polyprotein
5500,ORF1a polyprotein
12607,ORF1ab polyprotein
12454,ORF8b protein
10092,ORF1a polyprotein
11931,nucleocapsid phosphoprotein
1730,ORF1ab polyprotein
10467,ORF1a polyprotein
4689,surface glycoprotein
7359,ORF1ab polyprotein
4019,ORF1ab polyprotein
4889,ORF1a polyprotein
7309,ORF1a polyprotein
4504,ORF1ab polyprotein
493,ORF1ab polyprotein
5961,ORF1a polyprotein
8635,ORF1a polyprotein
11191,ORF1ab polyprotein
10276,ORF1ab polyprotein
11507,ORF1a polyprotein
12239,ORF1a polyprotein
7043,ORF1ab polyprotein
7341,ORF1a polyprotein
6090,ORF1a polyprotein
12602,ORF1ab polyprotein
7744,surface glycoprotein
6598,ORF1ab polyprotein
1605,ORF1a polyprotein
7819,ORF1ab polyprotein
998,ORF1a polyprotein
6240,ORF1ab polyprotein
12975,ORF1ab polyprotein
5710,ORF1a polyprotein
3367,ORF1ab polyprotein
7006,ORF1ab polyprotein
8852,ORF1ab polyprotein
12885,ORF1ab polyprotein
4596,ORF1a polyprotein
3278,ORF1ab polyprotein
10176,ORF1a polyprotein
5803,ORF1ab polyprotein
9690,ORF1a polyprotein
10605,nucleocapsid phosphoprotein
11245,membrane glycoprotein
12583,ORF1ab polyprotein
6541,ORF1a polyprotein
4762,ORF1ab polyprotein
5827,ORF1a polyprotein
8407,ORF1a polyprotein
10768,surface glycoprotein
732,ORF1a polyprotein
53,ORF1ab polyprotein
1310,surface glycoprotein
12849,ORF1ab polyprotein
6906,ORF1ab polyprotein
11683,ORF1a polyprotein
13157,ORF3 protein
2307,ORF1a polyprotein
6070,surface glycoprotein
1110,ORF1ab polyprotein
2277,ORF1ab polyprotein
3383,ORF1ab polyprotein
7513,ORF1ab polyprotein
1599,ORF1a polyprotein
12379,nucleocapsid phosphoprotein
11632,ORF1a polyprotein
2695,surface glycoprotein
7590,ORF1ab polyprotein
4073,surface glycoprotein
5800,ORF1ab polyprotein
6388,ORF1a polyprotein
12627,surface glycoprotein
830,ORF1a polyprotein
1868,ORF1ab polyprotein
8588,ORF1ab polyprotein
10734,nucleocapsid phosphoprotein
6902,ORF1a polyprotein
3817,ORF1ab polyprotein
2982,ORF1a polyprotein
3268,ORF1a polyprotein
4718,ORF1a polyprotein
9965,ORF1ab polyprotein
8875,ORF1ab polyprotein
3217,surface glycoprotein
6378,ORF1ab polyprotein
11084,surface glycoprotein
12771,nucleocapsid phosphoprotein
9287,ORF1a polyprotein
8516,ORF1a polyprotein
527,ORF1ab polyprotein
7193,surface glycoprotein
12452,surface glycoprotein
11813,surface glycoprotein
12450,surface glycoprotein
2411,ORF1ab polyprotein
3158,ORF1ab polyprotein
11673,nucleocapsid phosphoprotein
5528,ORF1ab polyprotein
8284,ORF1a polyprotein
4364,ORF1a polyprotein
11810,ORF1a polyprotein
8041,ORF1a polyprotein
5703,ORF1a polyprotein
3340,ORF1ab polyprotein
996,ORF1a polyprotein
12651,ORF1a polyprotein
37,surface glycoprotein
4305,ORF1ab polyprotein
9764,ORF1ab polyprotein
10284,ORF1a polyprotein
821,ORF1ab polyprotein
5039,nucleocapsid phosphoprotein
2038,ORF1ab polyprotein
11078,surface glycoprotein
13018,ORF1a polyprotein
8389,ORF1ab polyprotein
5002,ORF1ab polyprotein
6994,ORF1a polyprotein
4431,surface glycoprotein
2063,surface glycoprotein
6705,ORF1ab polyprotein
11645,ORF1ab polyprotein
4685,ORF1ab polyprotein
12539,surface glycoprotein
6010,ORF1ab polyprotein
3911,ORF1ab polyprotein
11132,ORF1a polyprotein
8190,ORF1a polyprotein
8393,ORF1a polyprotein
10398,ORF1ab polyprotein
11312,membrane glycoprotein
10799,ORF1a polyprotein
9094,ORF1ab polyprotein
11840,surface glycoprotein
3599,ORF1ab polyprotein
4311,ORF1ab polyprotein
10943,surface glycoprotein
7314,ORF1ab polyprotein
6542,ORF1a polyprotein
6633,ORF1a polyprotein
8179,ORF1ab polyprotein
11155,surface glycoprotein
5668,ORF1a polyprotein
6327,ORF1ab polyprotein
11393,surface glycoprotein
3952,ORF1ab polyprotein
5056,ORF1a polyprotein
11252,nucleocapsid phosphoprotein
127,ORF1a polyprotein
9283,ORF1a polyprotein
11607,ORF1a polyprotein
6303,ORF1ab polyprotein
535,ORF1a polyprotein
3296,ORF1ab polyprotein
4317,ORF1ab polyprotein
6498,ORF1ab polyprotein
4633,ORF1ab polyprotein
12112,ORF1a polyprotein
11661,surface glycoprotein
199,surface glycoprotein
2812,surface glycoprotein
11460,ORF1ab polyprotein
4262,ORF1a polyprotein
5856,ORF1a polyprotein
9271,surface glycoprotein
5391,ORF1ab polyprotein
9040,ORF1a polyprotein
2703,nucleocapsid phosphoprotein
7481,ORF1a polyprotein
357,ORF1ab polyprotein
7103,surface glycoprotein
10384,surface glycoprotein
7438,ORF1ab polyprotein
11879,surface glycoprotein
6325,ORF1a polyprotein
1616,ORF1ab polyprotein
5402,ORF1ab polyprotein
1475,ORF1a polyprotein
6584,ORF1a polyprotein
2799,ORF1ab polyprotein
2665,ORF1ab polyprotein
4267,ORF1a polyprotein
7882,ORF1ab polyprotein
3222,ORF1a polyprotein
8040,ORF1ab polyprotein
11319,ORF6 protein
9314,ORF1ab polyprotein
7121,ORF3a protein
5414,ORF1a polyprotein
1550,ORF1ab polyprotein
4256,ORF1a polyprotein
7797,ORF1ab polyprotein
8804,ORF1ab polyprotein
691,ORF1ab polyprotein
5972,ORF1ab polyprotein
8092,ORF1a polyprotein
2333,ORF1ab polyprotein
12787,ORF1a polyprotein
3663,ORF1ab polyprotein
2403,ORF1ab polyprotein
4067,nucleocapsid phosphoprotein
5922,ORF1a polyprotein
245,ORF1ab polyprotein
4061,ORF1a polyprotein
6600,ORF1ab polyprotein
7060,ORF1ab polyprotein
9365,ORF1ab polyprotein
943,ORF1ab polyprotein
12708,ORF1a polyprotein
2573,ORF1ab polyprotein
5578,ORF1ab polyprotein
6437,ORF1a polyprotein
6799,ORF1ab polyprotein
12001,ORF1ab polyprotein
10010,ORF3a protein
2954,surface glycoprotein
3744,ORF1a polyprotein
619,nucleocapsid phosphoprotein
9056,ORF1ab polyprotein
12665,surface glycoprotein
3932,surface glycoprotein
11985,ORF1a polyprotein
13042,ORF3 protein
12524,surface glycoprotein
3272,ORF1a polyprotein
183,ORF1a polyprotein
3534,ORF1ab polyprotein
3553,ORF1ab polyprotein
5871,ORF1a polyprotein
1641,ORF1ab polyprotein
4985,ORF1ab polyprotein
10976,surface glycoprotein
6798,ORF1ab polyprotein
5604,surface glycoprotein
7753,ORF1ab polyprotein
1755,ORF1a polyprotein
7981,ORF1ab polyprotein
11149,ORF1a polyprotein
2022,ORF1a polyprotein
7058,ORF1ab polyprotein
4593,ORF1ab polyprotein
6239,ORF1ab polyprotein
11278,ORF1a polyprotein
8180,ORF1ab polyprotein
8681,ORF1a polyprotein
8930,ORF1ab polyprotein
8965,nucleocapsid phosphoprotein
4151,ORF1a polyprotein
4855,ORF1a polyprotein
8075,ORF1ab polyprotein
12237,surface glycoprotein
11403,ORF3 protein
3186,ORF1ab polyprotein
12527,envelope protein
6944,ORF1ab polyprotein
11340,ORF1ab polyprotein
3552,ORF1a polyprotein
7639,ORF1a polyprotein
8850,ORF1ab polyprotein
7858,ORF1ab polyprotein
1634,ORF1ab polyprotein
4454,surface glycoprotein
5255,surface glycoprotein
1358,ORF1ab polyprotein
4903,ORF1a polyprotein
993,ORF1ab polyprotein
10611,nucleocapsid phosphoprotein
1570,ORF8 protein
5371,ORF1a polyprotein
5247,ORF1ab polyprotein
6888,nucleocapsid phosphoprotein
13065,ORF3 protein
10913,ORF1ab polyprotein
3348,ORF1ab polyprotein
373,ORF3a protein
12072,ORF4a protein
9743,ORF1a polyprotein
6478,ORF1a polyprotein
2366,surface glycoprotein
3773,ORF1a polyprotein
6685,ORF1ab polyprotein
11965,ORF1a polyprotein
6522,ORF1ab polyprotein
8048,ORF1ab polyprotein
5290,ORF1ab polyprotein
6012,ORF1ab polyprotein
1611,surface glycoprotein
6551,ORF1ab polyprotein
4581,ORF1a polyprotein
1253,ORF1a polyprotein
6850,ORF3a protein
7404,ORF1ab polyprotein
10999,ORF1ab polyprotein
2590,ORF1ab polyprotein
8536,surface glycoprotein
5161,ORF1a polyprotein
3678,ORF1a polyprotein
2692,ORF1ab polyprotein
11399,ORF1ab polyprotein
11802,ORF1ab polyprotein
7183,ORF1ab polyprotein
11316,ORF3a protein
10572,nucleocapsid phosphoprotein
2393,ORF1a polyprotein
3519,ORF1ab polyprotein
2673,ORF1ab polyprotein
7698,ORF1a polyprotein
5050,surface glycoprotein
322,ORF1a polyprotein
3513,ORF1ab polyprotein
9144,ORF8 protein
11967,ORF1ab polyprotein
2372,membrane glycoprotein
1073,surface glycoprotein
7228,ORF1ab polyprotein
5570,ORF1ab polyprotein
2430,ORF1ab polyprotein
5004,ORF1a polyprotein
8493,surface glycoprotein
4320,ORF1a polyprotein
2967,ORF1a polyprotein
3690,ORF8 protein
6263,surface glycoprotein
4817,ORF1ab polyprotein
2473,nucleocapsid phosphoprotein
2592,ORF1a polyprotein
252,ORF1ab polyprotein
3336,ORF8 protein
3468,ORF3a protein
6200,ORF1ab polyprotein
1192,ORF1ab polyprotein
9402,ORF1ab polyprotein
7383,surface glycoprotein
7039,ORF1ab polyprotein
7316,ORF1a polyprotein
4945,nucleocapsid phosphoprotein
6305,ORF1a polyprotein
12470,ORF4b protein
12543,ORF1a polyprotein
8391,surface glycoprotein
5008,ORF1a polyprotein
10790,ORF1a polyprotein
9428,ORF1a polyprotein
1229,ORF1a polyprotein
5221,ORF3a protein
7355,ORF1ab polyprotein
7439,ORF1ab polyprotein
7708,ORF1ab polyprotein
11681,ORF1ab polyprotein
7625,ORF3a protein
2761,ORF1a polyprotein
162,ORF1a polyprotein
1266,ORF1ab polyprotein
7747,ORF1ab polyprotein
9500,ORF1a polyprotein
9120,ORF1a polyprotein
4751,ORF1a polyprotein
8053,ORF1a polyprotein
7076,ORF1a polyprotein
6652,ORF1ab polyprotein
3057,ORF1ab polyprotein
11901,ORF4b protein
8443,ORF1ab polyprotein
12298,ORF1ab polyprotein
6114,ORF1a polyprotein
1472,ORF1ab polyprotein
385,ORF1ab polyprotein
929,ORF1ab polyprotein
5821,ORF1ab polyprotein
1032,nucleocapsid phosphoprotein
3856,ORF1ab polyprotein
11027,surface glycoprotein
5853,ORF1a polyprotein
529,ORF1ab polyprotein
12291,ORF1a polyprotein
3671,surface glycoprotein
10658,membrane glycoprotein
11045,ORF1a polyprotein
12645,ORF1ab polyprotein
12718,membrane glycoprotein
5206,ORF1a polyprotein
10131,ORF3a protein
8339,ORF1ab polyprotein
2354,surface glycoprotein
11135,ORF1ab polyprotein
12762,surface glycoprotein
7510,ORF1a polyprotein
6098,nucleocapsid phosphoprotein
10800,surface glycoprotein
3771,ORF1ab polyprotein
478,ORF1a polyprotein
10300,ORF1ab polyprotein
4043,ORF1ab polyprotein
3775,ORF1a polyprotein
4501,ORF1ab polyprotein
3225,surface glycoprotein
3970,ORF1ab polyprotein
2932,ORF1a polyprotein
3447,ORF1ab polyprotein
479,ORF1a polyprotein
321,ORF1ab polyprotein
12714,nucleocapsid phosphoprotein
7378,surface glycoprotein
7794,ORF1ab polyprotein
3820,ORF1a polyprotein
2909,nucleocapsid phosphoprotein
12996,surface glycoprotein
12407,surface glycoprotein
2564,ORF1ab polyprotein
10248,ORF1a polyprotein
1887,ORF1a polyprotein
1290,ORF1ab polyprotein
12795,ORF1a polyprotein
9705,ORF1a polyprotein
9548,ORF1ab polyprotein
12176,ORF3 protein
6323,ORF1a polyprotein
3345,ORF1ab polyprotein
627,ORF1ab polyprotein
8667,ORF1ab polyprotein
1967,ORF1ab polyprotein
987,ORF1ab polyprotein
5455,ORF1ab polyprotein
6609,ORF1a polyprotein
10834,surface glycoprotein
11944,surface glycoprotein
900,ORF1ab polyprotein
8222,ORF1ab polyprotein
221,ORF1a polyprotein
12661,ORF8b protein
12902,ORF1a polyprotein
4819,ORF1a polyprotein
506,ORF1ab polyprotein
7585,ORF1ab polyprotein
12700,ORF1a polyprotein
2126,ORF1a polyprotein
7809,ORF1ab polyprotein
12002,ORF3 protein
11067,ORF1ab polyprotein
6679,ORF1ab polyprotein
9826,ORF1a polyprotein
1677,ORF1ab polyprotein
586,ORF1ab polyprotein
10504,ORF1ab polyprotein
4392,ORF1ab polyprotein
10466,membrane glycoprotein
4083,ORF1ab polyprotein
10355,ORF1a polyprotein
4807,ORF1a polyprotein
9768,ORF1a polyprotein
678,ORF1ab polyprotein
5665,ORF1ab polyprotein
3726,ORF1ab polyprotein
10495,ORF1ab polyprotein
13096,surface glycoprotein
6557,ORF1a polyprotein
10955,surface glycoprotein
1737,ORF1ab polyprotein
5880,ORF1a polyprotein
8153,ORF1ab polyprotein
4367,ORF1a polyprotein
6050,ORF1ab polyprotein
11516,ORF1ab polyprotein
9101,ORF1a polyprotein
3298,ORF1ab polyprotein
1747,ORF1ab polyprotein
3844,nucleocapsid phosphoprotein
12855,ORF1a polyprotein
4714,ORF1ab polyprotein
4834,ORF1a polyprotein
7587,ORF1ab polyprotein
4898,ORF1ab polyprotein
6439,ORF1a polyprotein
6563,ORF1a polyprotein
4668,surface glycoprotein
3195,ORF1a polyprotein
3647,ORF1a polyprotein
3393,ORF1ab polyprotein
10870,ORF1ab polyprotein
12943,nucleocapsid phosphoprotein
9273,ORF1ab polyprotein
4013,ORF1ab polyprotein
5609,ORF1a polyprotein
4443,ORF1ab polyprotein
7710,ORF1ab polyprotein
11703,ORF1a polyprotein
10252,ORF1ab polyprotein
6859,ORF1a polyprotein
6984,surface glycoprotein
11951,ORF1a polyprotein
7184,ORF1ab polyprotein
5854,ORF1a polyprotein
2369,surface glycoprotein
9072,surface glycoprotein
9881,ORF1ab polyprotein
13036,membrane glycoprotein
11956,surface glycoprotein
3736,ORF1a polyprotein
9988,ORF1a polyprotein
8435,ORF1ab polyprotein
2221,ORF1ab polyprotein
8849,surface glycoprotein
10677,ORF1a polyprotein
8656,ORF1ab polyprotein
12067,ORF1a polyprotein
10432,ORF1a polyprotein
11186,surface glycoprotein
4972,ORF1ab polyprotein
6872,surface glycoprotein
1023,ORF3a protein
8187,ORF1ab polyprotein
9815,ORF1ab polyprotein
5330,ORF1ab polyprotein
3612,ORF1ab polyprotein
9537,ORF1a polyprotein
6066,surface glycoprotein
5927,nucleocapsid phosphoprotein
1395,ORF1ab polyprotein
175,ORF1a polyprotein
13140,ORF1a polyprotein
3824,ORF1a polyprotein
2449,ORF1a polyprotein
12653,ORF4b protein
9747,ORF1ab polyprotein
5790,ORF1ab polyprotein
2828,ORF1ab polyprotein
10161,ORF1ab polyprotein
75,ORF1ab polyprotein
11831,ORF1a polyprotein
7433,ORF1a polyprotein
3996,ORF1ab polyprotein
1158,ORF1ab polyprotein
11349,surface glycoprotein
6280,surface glycoprotein
157,ORF1ab polyprotein
6761,ORF1ab polyprotein
7299,ORF1ab polyprotein
4612,ORF1ab polyprotein
17,ORF1a polyprotein
664,ORF1ab polyprotein
2542,ORF1ab polyprotein
9254,ORF1a polyprotein
4697,ORF1a polyprotein
1053,ORF1a polyprotein
9191,ORF1ab polyprotein
12381,ORF3 protein
2496,nucleocapsid phosphoprotein
7973,ORF1ab polyprotein
5566,surface glycoprotein
5750,ORF1ab polyprotein
1223,ORF1a polyprotein
3091,ORF1a polyprotein
4399,ORF1a polyprotein
8291,ORF1ab polyprotein
2517,ORF1a polyprotein
5740,ORF1ab polyprotein
2679,ORF1a polyprotein
5107,ORF1a polyprotein
8346,ORF1a polyprotein
8841,nucleocapsid phosphoprotein
2513,ORF1a polyprotein
763,ORF1ab polyprotein
1772,ORF1ab polyprotein
12588,membrane glycoprotein
7246,ORF1a polyprotein
4686,ORF1ab polyprotein
9638,ORF1ab polyprotein
6446,ORF1a polyprotein
4632,ORF1a polyprotein
8410,ORF1a polyprotein
5083,ORF1a polyprotein
7988,ORF1ab polyprotein
3460,ORF1ab polyprotein
2633,ORF1ab polyprotein
11699,surface glycoprotein
4511,ORF1a polyprotein
8299,ORF1a polyprotein
13147,ORF5 protein
4402,surface glycoprotein
4618,ORF1ab polyprotein
9703,surface glycoprotein
10206,ORF1ab polyprotein
11170,nucleocapsid phosphoprotein
5000,ORF1ab polyprotein
9301,ORF1a polyprotein
3290,ORF1a polyprotein
842,ORF1ab polyprotein
10745,ORF1ab polyprotein
6293,ORF1ab polyprotein
6060,ORF1ab polyprotein
1710,surface glycoprotein
4879,ORF1a polyprotein
9446,surface glycoprotein
7053,ORF1a polyprotein
3010,ORF1a polyprotein
1687,ORF1ab polyprotein
11427,nucleocapsid phosphoprotein
12301,envelope protein
12196,ORF1ab polyprotein
9372,ORF1a polyprotein
3888,ORF1a polyprotein
4177,ORF1ab polyprotein
4353,nucleocapsid phosphoprotein
9387,nucleocapsid phosphoprotein
6094,ORF1a polyprotein
8577,membrane glycoprotein
10211,nucleocapsid phosphoprotein
7295,ORF1ab polyprotein
5630,ORF1a polyprotein
1392,ORF1a polyprotein
5999,ORF1ab polyprotein
2088,ORF1a polyprotein
3959,surface glycoprotein
12707,ORF8b protein
8549,ORF1a polyprotein
39,ORF1a polyprotein
3243,ORF1a polyprotein
12814,ORF1ab polyprotein
11573,ORF1ab polyprotein
3244,ORF1ab polyprotein
11380,surface glycoprotein
4973,ORF1a polyprotein
3558,ORF1ab polyprotein
260,surface glycoprotein
8079,ORF1ab polyprotein
7779,ORF1ab polyprotein
6464,ORF1ab polyprotein
4053,ORF1ab polyprotein
462,ORF1a polyprotein
3994,ORF1ab polyprotein
1693,ORF1ab polyprotein
5091,ORF1ab polyprotein
6438,ORF1ab polyprotein
4406,ORF1ab polyprotein
2061,surface glycoprotein
12555,ORF4b protein
9315,ORF1ab polyprotein
7429,ORF1ab polyprotein
12157,surface glycoprotein
11303,ORF1ab polyprotein
3092,ORF1ab polyprotein
12519,ORF8b protein
10926,ORF1ab polyprotein
96,ORF1ab polyprotein
5259,ORF1ab polyprotein
11818,ORF4a protein
3452,ORF1ab polyprotein
10316,ORF1a polyprotein
2442,surface glycoprotein
7944,ORF1a polyprotein
10541,ORF1ab polyprotein
787,surface glycoprotein
